2	2,1,3,14,2,4,5,6,9,10,3,3,
3	2,1,3,14,2,4,5,6,9,10,3,3,
4	2,1,3,14,2,4,5,6,9,10,3,3,
5	2,1,3,14,2,4,5,6,9,10,3,3,
2	2,1,3,14,2,4,5,6,9,10,3,3,
3	2,1,3,14,2,4,5,6,9,10,3,3,
4	2,1,3,14,2,4,5,6,9,10,3,3,
5	2,1,3,14,2,4,5,6,9,10,3,3,
2	2,1,3,14,2,4,5,6,9,10,3,3,
3	2,1,3,14,2,4,5,6,9,10,3,3,
4	2,1,3,14,2,4,5,6,9,10,3,3,
5	2,1,3,14,2,4,5,6,9,10,3,3,
2	2,1,3,14,2,4,5,6,9,10,3,3,
3	2,1,3,14,2,4,5,6,9,10,3,3,
4	2,1,3,14,2,4,5,6,9,10,3,3,
5	2,1,3,14,2,4,5,6,9,10,3,3,
2	2,1,3,14,2,4,5,6,9,10,3,3,
3	2,1,3,14,2,4,5,6,9,10,3,3,
4	2,1,3,14,2,4,5,6,9,10,3,3,
5	2,1,3,14,2,4,5,6,9,10,3,3,
